id,category,item,qty,requirement,candidate_1,candidate_2,candidate_3,key_spec,approx_price,price_basis,source_urls,verified,notes
P01,Actuator,"Z stage (vertical, landing axis)",1,actuator stroke >=50 mm (tip travel 50 mm; model uses 80 mm catalogue stroke); ball screw lead 1 mm; no drop unpowered; compact width; repeatability <=10 um,"THK KR20 LM Guide Actuator, lead 1: KR2001A-0080-P0-01A0 (precision) or KR2001A-0080-H0-01A0 (high-accuracy); 80 mm stroke, no cover",MISUMI LX20 lead 1 (LX2001P precision grade); stroke/motor bracket code to be configured on MISUMI site,Oriental Motor DRS2 42 mm guide type with electromagnetic brake and AZ absolute encoder (e.g. DRSM42RG-...AZMK family); exact PN (lead/stroke/brake) to configure,"KR20: ball screw lead 1 or 6 mm, strokes 30/80/130 seen as stock PNs; grades normal/H/P. LX20: repeatability +-0.005 (high grade) / +-0.003 (precision). DRS2: repeatability +-0.01 rolled / +-0.003 ground; brake option",KR20: not found (used unit on eBay ~USD 108 + shipping); DRS2 with driver: not found,approx; USD eBay used only,https://catalog.orientalmotor.com/item/linear-actuators-linear-slides-only/thk-lm-guide-actuator-kr20/kr2001a-0080-h0-01a0 ; https://catalog.orientalmotor.com/item/linear-actuators-linear-slides-only/thk-lm-guide-actuator-kr20/kr2001a-0030-p0-01a0 ; https://www.thk.com/jp/en/products/lm_guide_actuator/selection/0008/ ; https://us.misumi-ec.com/pdf/fa/2014/P1_0417.pdf ; https://www.orientalmotor.com/linear-actuators/compact-linear-actuators-drs-series-absolute-encoder.html ; https://www.monotaro.com/p/1564/1826/,PNs verified (Oriental Motor THK listing); KR20 numeric repeatability per grade UNVERIFIED (THK accuracy table exists but values not seen),"Lean KR2001A-0080-P0 (or H0). No 50 mm stock stroke seen -> use 80 mm (margin for touch-off/park). Lead 1 mm: back-drive torque ~0.4 mN.m, self-holding with motor detent. Check KR20 direct motor mount for NEMA17 (THK store lists KR20 Direct Motor Mount). Monotaro lists KR2001A semi-order items -> buyable in Japan."
P02,Actuator,"X stage (cantilevered, tip X)",1,actuator stroke >=100 mm (tip travel -15..+85 = 100 mm; model uses 110 mm catalogue stroke); lead 2 mm; light & stiff; ball screw,"MISUMI LX26 lead 2, precision grade: LX2602P-...-150 (or -100); example real PN LX2602-B1-A2625-100 (high grade, 100 mm); motor bracket code to configure for NEMA17","THK KR26 lead 2: KR2602A-0110-P0-01A0 (110 mm, precision) or KR2602A-0160-H0-01A0","THK KR2001A-0130-H0/P0-01A0 (lead 1, 130 mm) if one actuator family preferred (slower: 1 mm lead)","LX2602/LX2605: strokes 100/150 available; repeatability +-0.005 (high) / +-0.003 (precision). KR26: lead 2, strokes 110/160/210 seen","LX26 base price JPY 43,000-66,600 (range across variants)",approx; JPY MISUMI search excerpt,https://us.misumi-ec.com/vona2/detail/110300075270/ ; https://in.misumi-ec.com/pdf/fa/2014/p1_421_001_p1_423.pdf ; https://www.radwell.com/en-US/Buy/MISUMI/MISUMI/LX2602-B1-A2625-100/ ; https://catalog.orientalmotor.com/item/linear-actuators-linear-slides-only/thk-lm-guide-actuator-kr26/kr2602a-0110-0-01a0 ; https://jp.misumi-ec.com/maker/misumi/mech/special/actuator_portal/lx/detail/,"LX26 repeatability & strokes: excerpt, one source (MISUMI PDF); KR26 PNs verified via Oriental listing; price unverified",Stroke exactly 100 leaves no margin to hard stops -> prefer 110 (KR26) or 150 (LX26). Cantilever: check moment rating (Mp/My) of carriage vs ~1.3 kg Z group at ~50-80 mm offset.
P03,Actuator,Y stage (on fixed Y beam),1,actuator stroke >=30 mm (tip travel +/-15 mm; model uses 50 mm catalogue stroke); carries X+Z groups ~4 kg; largest moment ~7 N m (docs/03 5b) - check catalogue MY/MP,"MISUMI LX26 (LX2602/LX2602P), shortest stroke >=50 mm; configure on site",THK KR2602A (lead 2) shortest stock stroke (110 seen; shorter strokes unverified),"THK KR2001A-0080-H0-01A0 (lead 1, 80 mm) - lighter, but check moment load",same families as P01/P02; lead 1-2 mm; 5-10 um/full step,"LX26 JPY 43,000-66,600 (see P02)",approx; JPY,https://us.misumi-ec.com/vona2/detail/110300075270/ ; https://catalog.orientalmotor.com/viewitems/linear-actuators-linear-slides-only/thk-lm-guide-actuator-kr20,partial (families verified; min strokes unverified),Width-26 class recommended because Y sees the full X cantilever moment. A 30 mm stock stroke (KR2001A-0030) exists but gives no margin. Arch. B (FUYU) acceptable per doc 04 if budget forces. | Moment check needed: Y carries ~3 kg at ~0.3 m overhang -> ~9 N·m roll/pitch moment on the carriage; compare with the actuator catalogue allowable moment before choosing (unverified).
P04,Motor,"NEMA17 stepper motors, X and Y",2,"42 mm frame, 1.5-2 A class, 24 V bus via TMC5160, single shaft 5 mm","Oriental Motor PKP244D15A2 / PKP244D15B2 (PKP series, 42 mm, bipolar)","Oriental Motor PKP245D15A2 (longer, more torque)","Generic NEMA17 (e.g. StepperOnline 17HS series) - unverified, lower QC",PKP244 holding torque 0.42 N.m (legacy PKP244MD15A listing); detent torque not seen,not found,-,https://catalog.orientalmotor.com/item/2-phase-bipolar-stepper-motors/42mm-pkp-series-2-phase-bipolar-stepper-motors/pkp244d15a2 ; https://catalog.orientalmotor.com/item/42mm-frame-stepper-motors/42mm-pkp-series-2-phase-bipolar-stepper-motors/pkp245d15a2 ; https://www.orientalmotor.com/stepper-motors/2-phase-stepper-motors-pkp-series.html,PNs verified; torque of the -D15A2 variant unverified,Match shaft/pilot to the actuator motor bracket (THK KR direct mount / MISUMI LX bracket code). Oriental is buyable in Japan with short lead times.
P05,Motor,NEMA17 stepper motor for Z (optional brake),1,42 mm; detent torque >> 0.4 mN.m back-drive; brake only if Z group >0.5 kg,Oriental Motor PKP244D15A2 (no brake; baseline),Oriental Motor PKP244MD15M (PKP244 with electromagnetic brake; legacy listing) or current PKP brake-type equivalent,Oriental DRS2 integrated (see P01 cand. 3) - motor+brake+encoder in one,holding 0.42 N.m; brake type is power-off-activated (typical; unverified for this PN),not found,-,https://catalog.orientalmotor.com/item/all-categories-legacy-products/legacy-pkp-series-2-phase-bipolar-stepper-motors/pkp244md15m-1 ; https://www.orientalmotor.com/products/pdfs/2018-2019/549%20PKP%20Series%20Catalog.pdf,PN seen (legacy); current brake PN unverified,Doc 03 section 5: no brake needed at 0.3 kg with 1 mm lead. Keep brake as a documented upgrade. A brake needs a 24 V release output and adds length above the Z actuator (check Z envelope).
P06,Mechanical,Motor brackets + shaft couplings,3,NEMA17 to actuator screw; zero-backlash coupling,THK KR20 / KR26 Direct Motor Mount (THK Store) or KR motor wrap,MISUMI LX motor bracket option (selected in LX PN) + MISUMI disc/Oldham coupling (series; PN to configure for 5 mm motor shaft x screw shaft),Oriental Motor supplies motor-matched THK KR flanges (Oriental KR listings) - confirm,direct mount keeps Z length short; motor wrap (fold-back) shortens X/Y length,not found,-,https://www.thkstore.com/kr20-direct-motor-mount.html ; https://www.thkstore.com/skr20-motor-wrap-3-o-clock.html ; https://www.thk.com/jp/en/products/lm_guide_actuator/full_ball/kr20/ab_direct_standard/,partial,Coupling usually included with LX/KR motor bracket options - confirm when configuring.
P07,Microscope,Motorised XY stage for IX73 (W-B),1,travel >=99 x 63 mm (NOT IX3-SSU 76x52); IX73 mount; PC control,"Märzhäuser SCANplus IM 120 x 80 for Olympus IX53/IX73/IX83, order no. 00-24-579-0000 (2 mm ball screw, integrated measuring system)","Evident-listed Märzhäuser stage M-MS-IX3-2-2 (120 x 80 mm, 2 mm pitch ball screw, repro 1 um, accuracy 3 um, 2000 g) - via Evident/Olympus channel","Prior ProScan H117E1XD (encoded) / H117N1XD for Evident IX3: 114 x 75 mm, 1 mm ball screw; alt. ASI MS-2000 flat-top (IX73 compatible; travel 120 x 110 or 120 x 75 reported - unverified)","all >= 99 x 63 mm; Prior HLD117IX (linear motor, 50 nm encoders) also IX73-compatible",not found (quote required),-,https://products.marzhauser.com/Datenblaetter/EN/48-24-581-0000_SCAN_IM_120_80_DICTA_EN.pdf ; https://products.marzhauser.com/en/data/scanplus-im-c5838 ; https://www.wolflabs.co.uk/laboratory-equipment/miscellaneous-products/e0433735/10433840 ; https://www.prior.com/product/proscan-h117e1xd-inverted-stage ; https://photos.labwrench.com/equipmentManuals/14699-5711.pdf ; https://www.prior.com/Content/Downloads/Evident-Olympus-IX73-inverted-microscope.pdf ; https://www.asiimaging.com/products/stages/xy-inverted-stages/ms-2000-flat-top-xyz-automated-stage/,"Märzhäuser order no. and Prior H117 114x75 travel: excerpt, 2 sources each; ASI travel UNVERIFIED","H117 at 114 x 75 has ~7.5/5.8 mm margin per side over 99x63; SCAN IM 120 x 80 more. Micro-Manager supports Märzhäuser Tango, Prior ProScan and ASI. Longest lead-time item; excluded from picker budget."
P08,Microscope,Stage controller + joystick,1,"USB/RS-232, Micro-Manager support",Märzhäuser TANGO controller (for SCAN IM),Prior ProScan III controller (for H117),ASI MS-2000 controller (with ASI stage),"controllers are stage-specific; M-MS-IX3-2-2 lists Tango, OSIS STC, Objective Imaging OASIS 4i",not found,-,https://www.wolflabs.co.uk/laboratory-equipment/miscellaneous-products/e0433735/10433840 ; https://www.prior.com/product/proscan-h117e1xd-inverted-stage ; https://www.asiimaging.com/products/stages/xy-inverted-stages/ms-2000-xyz-automated-stage/,partial,Usually bundled with the stage quote.
P09,Microscope,IX-ULWCD long-working-distance condenser (if not owned),1,"WD 73 mm, NA 0.3 - required for near-vertical capillary under condenser",Evident/Olympus IX-ULWCD (Olympus part 6-U220) new via Evident Japan,Refurbished IX-ULWCD via Spectra Services / LabX (6-U220-U),Fallback: tilt illumination pillar back + LED ring (no condenser) - see doc 03,"NA 0.30, WD 73 mm, 4 positions for Ø29 mm devices",USD 974 list (NY state contract price file; older) ; USD 864 (2010 VA price list),approx; USD; old list prices,https://spectraservices.com/product/6-u220.html ; https://spectraservices.com/product/6-u220-u.html ; https://www.labx.com/item/olympus-ix-ulwcd-long-working-distance-condenser/DIS-41276-6-U220 ; https://online.ogs.ny.gov/purchase/spg/pdfdocs/1260023072PL_OlympusAmerica.pdf ; https://www.tengrant.com/upLoad/file/20190331/IX73-IX83_system_chart.pdf,spec: reseller excerpts (2 agree); current Evident availability UNVERIFIED,A search excerpt says IX-ULWCD is 'not available in some areas' -> confirm with Evident Japan early. Confirm the adaptor to the IX73 illumination pillar (system chart).
P10,Capillary holder,Collet capillary holder (custom) with inserts OD 1.0/1.5/2.0,1 body + 3 insert sets,Ø10x14 envelope target; depth stop; separate face seal with liquid port; V-seat on arm,Custom turned holder (SUS303/PEEK) using Rego-Fix ER8 collets Ø1.0 / Ø1.5 / Ø2.0 (0.5 mm clamping range each) + ER8 mini nut,Eppendorf Universal Capillary Holder + grip heads 0 (1.0-1.1 mm) / 2 (1.4-1.5 mm) - no 2.0 mm head seen,Fully custom split collet + taper nut (meviy turning or local machine shop),"ER8: clamping range 0.5 mm per collet, runout ~0.010 mm (catalogue class); Eppendorf grip head 0 = 1.0-1.1, 1 = 1.2-1.3, 2 = 1.4-1.5 mm","ER8 collet ~USD 45 each (Rego-Fix, retailer); Eppendorf: not found",approx; USD,https://shop.fischerspindle.com/Collets/ER8/en ; https://www.freertool.com/products/9-pc-collet-set-7mm-5mm-er8-style-collet ; https://www.toolsengg.com/collets-64/er-collets/er-standard-collets/er8-standard-collets ; https://www.fishersci.pt/shop/products/grip-head-0/11886884 ; https://www.eppendorf.com/product-media/doc/en/142967_Supplement-sheet/Eppendorf_Cell-Technology_Instructions-use_Universal-capillary-holder.pdf,ER8 sizes verified (multiple vendors); ER8 nut OD vs Ø10 envelope UNVERIFIED (ER8 nuts are typically ~12-16 mm OD),ER8 steel collet on glass: risk of chipping -> use a thin PTFE/PEEK sleeve or limit torque; test. ER8 nut likely exceeds Ø10 -> re-run analysis with HOLDER_D=12..16. Eppendorf holder cannot take 2.0 mm.
